Date,Close,Close,Close,Close,Close
2024-08-12,515.9500,166.8000,217.5300,633.1400,162.2900
2024-08-09,517.7700,166.9400,216.2400,633.9400,163.6700
2024-08-08,509.6300,165.8000,213.3100,630.3500,162.0300
2024-08-07,488.9200,162.7700,209.8200,611.4800,158.9400
2024-08-06,494.0900,161.9300,207.2300,609.5700,158.2900
2024-08-05,475.7300,161.0200,209.2700,598.5500,159.2500
2024-08-02,488.1400,167.9000,219.8600,613.6400,166.6600
2024-08-01,497.7400,184.0700,218.3600,624.8500,170.7600
2024-07-31,474.8300,186.9800,222.0800,628.3500,171.5400
2024-07-30,463.1900,181.7100,218.8000,622.5800,170.2900
2024-07-29,465.7100,183.2000,218.2400,626.9600,169.5300
2024-07-26,465.7000,182.5000,217.9600,631.3700,167.0000
2024-07-25,453.4100,179.8500,217.4900,634.0900,167.2800
2024-07-24,461.2700,180.8300,218.5400,635.9900,172.6300
2024-07-23,488.6900,186.4100,225.0100,642.7600,181.7900
2024-07-22,487.4000,182.5500,223.9600,647.5000,181.6700
2024-07-19,476.7900,183.1300,224.3100,633.3400,177.6600
2024-07-18,475.8500,183.7500,224.1800,643.0400,177.6900
2024-07-17,461.9900,187.9300,228.8800,647.4600,181.0200
2024-07-16,489.7900,193.0200,234.8200,656.3200,183.9200
2024-07-15,496.1600,192.7200,234.4000,656.4500,186.5300
2024-07-12,498.8700,194.4900,230.5400,647.6000,185.0700
2024-07-11,512.7000,195.0500,227.5700,652.7500,185.5700
2024-07-10,534.6900,199.7900,232.9800,677.6500,191.1800
2024-07-09,530.0000,199.3400,228.6800,685.7400,188.9800
2024-07-08,529.3200,199.2900,227.8200,685.7400,189.0300
2024-07-05,539.9100,200.0000,226.3400,690.6500,190.6000
2024-07-03,509.9600,197.5900,221.5500,682.5100,185.8200
2024-07-02,509.5000,200.0000,220.2700,679.5800,185.2400
2024-07-01,504.6800,197.2000,216.7500,673.6100,182.9900
2024-06-28,504.2200,193.2500,210.6200,674.8800,182.1500
2024-06-27,519.5600,197.8500,214.1000,684.3400,185.4100
2024-06-26,513.1200,193.6100,213.2500,677.6900,183.8800
2024-06-25,510.6000,186.3400,209.0700,672.4100,184.0300
2024-06-24,498.9100,185.5700,208.1400,669.0200,179.2200
2024-06-21,494.7800,189.0800,207.4900,686.1200,179.6300
2024-06-20,501.7000,186.1000,209.6800,679.0300,176.3000
2024-06-18,499.4900,182.8100,214.2900,685.6700,175.0900
2024-06-17,506.6300,184.0600,216.6700,675.8300,177.2400
2024-06-14,504.1600,183.6600,212.4900,669.3800,176.7900
2024-06-13,504.1000,183.8300,214.2400,653.2600,175.1600
2024-06-12,508.8400,186.8900,213.0700,650.0600,177.7900
2024-06-11,507.4700,187.2300,207.1500,648.5500,176.6200
2024-06-10,502.6000,187.0600,193.1200,644.5000,175.0100
2024-06-07,492.9600,184.3000,196.8900,641.4700,174.4600
2024-06-06,493.7600,185.0000,194.4800,648.5200,176.7300
2024-06-05,495.0600,181.2800,195.8700,650.2700,175.4100
2024-06-04,476.9900,179.3400,194.3500,631.6200,173.7900
2024-06-03,477.4900,178.3400,194.0300,633.7900,173.1700
2024-05-31,466.8300,176.4400,192.2500,641.6200,172.5000
2024-05-30,467.0500,179.3200,191.2900,647.6600,172.1100
2024-05-29,474.3600,182.0200,190.2900,654.6200,175.9000
2024-05-28,479.9200,182.1500,189.9900,649.0000,176.4000
2024-05-24,478.2200,180.7500,189.9800,646.7500,174.9900
2024-05-23,465.7800,181.0500,186.8800,635.6700,173.5500
2024-05-22,467.7800,183.1300,190.9000,640.4700,176.3800
2024-05-21,464.6300,183.1500,192.3500,650.6100,177.8500
2024-05-20,468.8400,183.5400,191.0400,640.8200,176.9200
2024-05-17,471.9100,184.7000,189.8700,621.1000,176.0600
2024-05-16,473.2300,183.6300,189.8400,610.5200,174.1800
2024-05-15,481.5400,185.9900,189.7200,613.5200,172.5100
2024-05-14,471.8500,187.0700,187.4300,613.6600,170.3400
2024-05-13,468.0100,186.5700,186.2800,616.5900,169.1400
2024-05-10,476.2000,187.4800,183.0500,610.8700,168.6500
2024-05-09,475.4200,189.5000,184.5700,612.0900,169.9600
2024-05-08,472.6000,188.0000,182.7400,609.4700,169.3800
2024-05-07,468.2400,188.7600,182.4000,606.0000,171.2500
2024-05-06,465.6800,188.7000,181.7100,596.9700,168.1000
2024-05-03,451.9600,186.2100,183.3800,579.3400,167.2400
2024-05-02,441.6800,184.7200,173.0300,565.1500,166.6200
2024-05-01,439.1900,179.0000,169.3000,551.7100,163.8600
2024-04-30,430.1700,175.0000,170.3300,550.6400,162.7800
2024-04-29,432.6200,180.9600,173.5000,559.4900,166.1500
2024-04-26,443.2900,179.6200,169.3000,561.2300,171.9500
2024-04-25,441.3800,173.6700,169.8900,564.8000,156.0000
2024-04-24,493.5000,176.5900,169.0200,555.1200,159.1300
2024-04-23,496.1000,179.5400,166.9000,577.7500,158.2600
2024-04-22,481.7300,177.2300,165.8400,554.6000,156.2800
2024-04-19,481.0700,174.6300,165.0000,555.0400,154.0900
2024-04-18,501.8000,179.2200,167.0400,610.5600,156.0100
2024-04-17,494.1700,181.2800,168.0000,613.6900,155.4700
2024-04-16,499.7600,183.3200,169.3800,617.5200,154.4000
2024-04-15,500.2300,183.6200,172.6900,607.1500,154.8600
2024-04-12,511.9000,186.1300,176.5500,622.8300,157.7300
2024-04-11,523.1600,189.0500,175.0400,628.7800,159.4100
2024-04-10,519.8300,185.9500,167.7800,618.5800,156.1400
2024-04-09,516.9000,185.6700,169.6700,618.2000,156.6000
2024-04-08,519.2500,185.1900,168.4500,628.4100,154.8500
2024-04-05,527.3400,185.0700,169.5800,636.1800,152.5000
2024-04-04,510.9200,180.0000,168.8200,617.1400,150.5300
2024-04-03,506.7400,182.4100,169.6500,630.0800,154.9200
2024-04-02,497.3700,180.6900,168.8400,614.2100,154.5600
2024-04-01,491.3500,180.9700,170.0300,614.3100,155.4900
2024-03-28,485.5800,180.3800,171.4800,607.3300,150.9300
2024-03-27,493.8600,179.8300,173.3100,613.5300,150.8700
2024-03-26,495.8900,178.3000,169.7100,629.2400,150.6700
2024-03-25,503.0200,179.7100,170.8500,627.4600,150.0700
2024-03-22,509.5800,178.8700,172.2800,628.0100,150.7700
